Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2020","2020","1000 tonnes","3895","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2010","2010","1000 tonnes","65","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2011","2011","1000 tonnes","92","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2012","2012","1000 tonnes","98","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2013","2013","1000 tonnes","111","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2014","2014","1000 tonnes","200","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2015","2015","1000 tonnes","208","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2016","2016","1000 tonnes","211","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2017","2017","1000 tonnes","204","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2018","2018","1000 tonnes","314","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2019","2019","1000 tonnes","247","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5611","Import Quantity","S2570","Oilcrops, Other","2020","2020","1000 tonnes","283","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2010","2010","1000 tonnes","-42","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2011","2011","1000 tonnes","660","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2012","2012","1000 tonnes","254","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2013","2013","1000 tonnes","-9","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2014","2014","1000 tonnes","118","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2015","2015","1000 tonnes","-120","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2016","2016","1000 tonnes","-505","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2017","2017","1000 tonnes","-701","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2018","2018","1000 tonnes","-479","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2019","2019","1000 tonnes","-504","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5072","Stock Variation","S2570","Oilcrops, Other","2020","2020","1000 tonnes","-336","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2010","2010","1000 tonnes","209","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2011","2011","1000 tonnes","228","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2012","2012","1000 tonnes","206","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2013","2013","1000 tonnes","398","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2014","2014","1000 tonnes","325","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2015","2015","1000 tonnes","246","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2016","2016","1000 tonnes","365","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2017","2017","1000 tonnes","424","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2018","2018","1000 tonnes","427","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2019","2019","1000 tonnes","549","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5911","Export Quantity","S2570","Oilcrops, Other","2020","2020","1000 tonnes","395","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2010","2010","1000 tonnes","3192","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2011","2011","1000 tonnes","3477","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2012","2012","1000 tonnes","3733","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2013","2013","1000 tonnes","3413","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2014","2014","1000 tonnes","3565","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2015","2015","1000 tonnes","3859","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2016","2016","1000 tonnes","3854","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2017","2017","1000 tonnes","4031","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2018","2018","1000 tonnes","4071","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2019","2019","1000 tonnes","3626","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5301","Domestic supply quantity","S2570","Oilcrops, Other","2020","2020","1000 tonnes","4119","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2010","2010","1000 tonnes","2159","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2011","2011","1000 tonnes","2287","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2012","2012","1000 tonnes","2523","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2013","2013","1000 tonnes","2491","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2014","2014","1000 tonnes","2587","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2015","2015","1000 tonnes","2787","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2016","2016","1000 tonnes","2956","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2017","2017","1000 tonnes","3095","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2018","2018","1000 tonnes","2969","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2019","2019","1000 tonnes","2678","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2570","Oilcrops, Other","2020","2020","1000 tonnes","2928","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2570","Oilcrops, Other","2010","2010","kg","0.09","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2570","Oilcrops, Other","2011","2011","kg","0.09","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2570","Oilcrops, Other","2012","2012","kg","0.11","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2570","Oilcrops, Other","2013","2013","kg","0.1","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2570","Oilcrops, Other","2014","2014","kg","0.1","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2570","Oilcrops, Other","2015","2015","kg","0.1","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2570","Oilcrops, Other","2016","2016","kg","0.11","E","Estimated value"
